File,STT_Source,LLM_Source,STT_Text,Intent,Response,STT_Latency,LLM_Latency,E2E_Latency,RTF,CPU_utilization_avg,GPU_compute_utilization,RAM_Used_Avg_MB,Net_Sent_KB,Net_Recv_KB,Selected_Path,Action_Command,STT_Net_Sent_KB,STT_Net_Recv_KB,LLM_Net_Sent_KB,LLM_Net_Recv_KB,RAM_Used_Peak_MB
EC_0179-5341-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),조준화면을 제일 천천히 열리게 설정해줘,control,조준화면을 가장 천천히 열리도록 설정했습니다.,1.51,1.066,2.607,0.805,9.1,65.7,12029.0,311.01,6.73,STT[Cloud] -> LLM[Cloud (Quality)],조준화면 속도 설정(최저 속도),308.392,6.475,2.68,1.716,12029
EC_0179-5342-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),자율주행한 최대 거리가 몇 킬로미터인지 체크해줘,control,최대 자율주행 거리를 확인합니다.,0.758,1.422,2.211,0.567,14.3,66.0,12030.3,373.17,8.16,STT[Cloud] -> LLM[Cloud (Quality)],check_max_autonomous_distance(최대 자율주행 거리),370.61,8.062,2.628,1.675,12031
EC_0179-5343-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),소방차 오니까 길가로 붙여줘,control,소방차를 위해 길가로 이동합니다.,1.165,0.79,1.986,0.704,15.1,97.5,12031.0,268.52,4.01,STT[Cloud] -> LLM[Cloud (Quality)],차량 이동(길가로 이동),268.587,4.992,2.6,1.661,12031
EC_0179-5344-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),자율주행 가능형 누가 궁금해?,chat,"자율주행 기술, 흥미롭죠!",0.672,0.696,1.42,0.563,21.0,49.5,12031.0,243.08,4.63,STT[Cloud] -> LLM[Cloud (Quality)],N/A,240.548,4.527,2.601,1.631,12031
EC_0179-5345-04-04-PSJ-F-04-A.wav,OnDevice (Late),Cloud (Quality),SOS 차량 옹이 속도 내지 말고 기다려줘.,control,속도를 유지하며 대기합니다.,2.04,0.958,3.026,0.801,9.3,66.0,12031.3,363.06,10.85,STT[OnDevice (Late)] -> LLM[Cloud (Quality)],속도 유지(대기 요청),359.103,6.195,4.021,6.699,12032
EC_0179-5346-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),길이 위험하니까 비상정지 기능을 실행시켜줘,control,비상정지 기능을 실행합니다. 안전하게 멈춥니다.,1.165,1.199,2.398,0.655,19.2,62.0,12031.0,350.45,6.84,STT[Cloud] -> LLM[Cloud (Quality)],비상정지(위험 감지),347.896,6.685,2.621,1.728,12031
EC_0179-5347-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),자석 온도 좀 낮춰라,control,자석 온도를 낮췄습니다.,0.707,0.747,1.485,0.562,19.2,49.5,12039.0,254.41,6.39,STT[Cloud] -> LLM[Cloud (Quality)],온도 조절(낮춤),251.884,6.293,2.652,1.648,12046
EC_0179-5348-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),자료지목 모두 꺼볼래?,control,자료지목을 모두 껐습니다.,1.596,0.922,2.555,1.151,15.0,61.0,12045.0,214.8,4.73,STT[Cloud] -> LLM[Cloud (Quality)],turn_off(자료지목),212.272,4.576,2.591,1.644,12045
EC_0179-5349-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),주행 기록계의 쌓인 누적 데이터 볼 수 있을까?,control,주행 기록계 데이터를 표시합니다.,1.031,0.814,1.879,0.531,16.4,95.0,12046.0,339.12,5.67,STT[Cloud] -> LLM[Cloud (Quality)],display(주행 기록계 데이터),336.56,5.573,2.622,1.584,12046
EC_0179-5350-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),자율주행 모드가 필요한 시점이에요,control,자율주행 모드를 활성화합니다. 안전 운전하세요.,0.732,0.935,1.705,0.632,21.4,96.0,12046.0,259.99,5.71,STT[Cloud] -> LLM[Cloud (Quality)],자율주행 모드(활성화),257.444,5.553,2.608,1.673,12046
EC_0179-5351-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),지금 차 엔진 소리가 이상해. 보험사랑 지금 연락할래.,control,보험사에 지금 연락할게요.,1.173,0.839,2.047,0.455,15.4,97.0,12047.0,426.88,5.03,STT[Cloud] -> LLM[Cloud (Quality)],연락(보험사),426.946,6.029,2.632,1.639,12047
EC_0179-5352-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),다음 신호등까지 자율주행해줘,control,다음 신호등까지 자율주행을 시작합니다.,0.764,0.846,1.651,0.55,22.4,70.0,12047.5,288.28,6.92,STT[Cloud] -> LLM[Cloud (Quality)],자율주행(다음 신호등까지),285.741,6.765,2.602,1.668,12048
EC_0179-5353-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),뒤에 구급차가 오고 있어 옆으로 비켜줘,control,구급차에 길을 양보합니다. 안전 운전하세요.,1.208,0.931,2.171,0.71,15.4,65.0,12047.0,293.79,7.27,STT[Cloud] -> LLM[Cloud (Quality)],차선 변경(구급차 양보),291.237,6.268,2.613,1.761,12047
EC_0179-5354-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),1차로로 차선 바꿔서 주행이라.,control,1차로로 차선 변경합니다.,0.879,0.717,1.627,0.399,18.9,71.0,12048.0,390.11,6.25,STT[Cloud] -> LLM[Cloud (Quality)],차선 변경(1차로),387.571,6.1,2.602,1.641,12048
EC_0179-5355-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),자율주행으로 달린 거리 선출해주겠니?,control,자율주행으로 달린 거리를 확인합니다.,1.254,1.166,2.453,0.705,16.3,64.7,12048.0,333.35,6.06,STT[Cloud] -> LLM[Cloud (Quality)],자율주행 거리 확인(현재 주행 거리),330.806,5.861,2.612,1.802,12048
EC_0179-5356-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),앞창은 따라가면 목적지가 나올거야.,control,앞차를 따라갑니다. 안전 운전하세요.,1.941,0.926,2.9,0.967,15.1,65.7,12048.0,288.35,4.54,STT[Cloud] -> LLM[Cloud (Quality)],follow(앞차),285.806,4.386,2.609,1.662,12048
EC_0179-5357-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),자율주행한 기록 가져와줘,control,자율주행 기록을 가져옵니다.,0.675,1.016,1.723,0.718,20.9,49.5,12047.5,231.7,4.47,STT[Cloud] -> LLM[Cloud (Quality)],retrieve(autonomous driving records),229.169,4.371,2.596,1.668,12048
EC_0179-5358-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),조수석 창문 열어가기,control,조수석 창문을 엽니다.,0.709,0.641,1.383,0.623,19.9,63.5,12048.0,214.73,5.79,STT[Cloud] -> LLM[Cloud (Quality)],open_window(passenger_side),212.208,5.686,2.59,1.648,12048
EC_0179-5359-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),현재 자유주행 몇 킬로미터로 달리는 중이야?,control,현재 속도는 80km/h입니다.,0.81,0.851,1.696,0.514,19.9,96.0,12047.0,316.53,5.0,STT[Cloud] -> LLM[Cloud (Quality)],query_speed(현재 속도 확인),313.974,4.853,2.62,1.653,12047
EC_0179-5360-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),문은 다 닫아줘요,control,모든 문을 닫았습니다.,0.847,1.33,2.21,0.877,20.6,66.0,12048.0,243.0,4.31,STT[Cloud] -> LLM[Cloud (Quality)],close_doors(모든 문),240.483,4.154,2.584,1.646,12048
EC_0179-5361-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),너무 더워 자석 시원하게,control,에어컨을 시원하게 설정합니다.,0.942,0.671,1.646,0.653,17.4,49.5,12048.0,243.08,5.03,STT[Cloud] -> LLM[Cloud (Quality)],에어컨 설정(시원하게),240.548,4.826,2.594,1.699,12048
EC_0179-5362-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),차선 변경은 이쪽으로 할래요,control,차선 변경을 시작합니다. 안전에 유의하세요.,0.742,1.633,2.408,1.003,20.6,64.7,12048.0,231.7,5.09,STT[Cloud] -> LLM[Cloud (Quality)],차선 변경(사용자 요청),229.169,4.935,2.6,1.768,12048
EC_0179-5363-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),자동으로 보험의사랑 콘택트해줘,control,보험회사에 연락을 시도합니다.,0.696,1.108,1.84,0.697,20.5,95.5,12047.0,254.36,5.6,STT[Cloud] -> LLM[Cloud (Quality)],contact(보험회사),251.819,5.449,2.604,1.684,12047
EC_0179-5364-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),보급차 보내고 자율주행 시행,control,자율주행을 시작합니다. 안전 운전하세요.,1.325,1.369,2.726,0.857,17.0,66.0,12048.0,305.04,5.14,STT[Cloud] -> LLM[Cloud (Quality)],자율주행 시작(보급차 후),302.509,4.989,2.6,1.679,12048
EC_0179-5365-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),에어컨 바람 차 내부에서만 틀어줘.,control,에어컨을 내부 순환 모드로 설정했습니다.,0.831,0.882,1.747,0.62,19.2,95.5,12047.0,271.3,4.48,STT[Cloud] -> LLM[Cloud (Quality)],내부순환모드(에어컨),268.757,4.379,2.607,1.75,12047
EC_0179-5366-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),주행 중에는 조수석 창 닫아줘.,control,조수석 창문을 닫습니다.,0.846,0.79,1.673,0.581,10.1,96.0,12048.0,277.01,6.31,STT[Cloud] -> LLM[Cloud (Quality)],close_window(passenger_side),274.47,6.155,2.602,1.701,12048
EC_0179-5367-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),자율주행 기록에 뭐 있는지 확인하래.,control,자율주행 기록을 확인합니다.,0.911,1.217,2.163,0.591,19.4,99.0,12048.0,350.31,5.15,STT[Cloud] -> LLM[Cloud (Quality)],check_autonomous_record(자율주행 기록 확인),347.767,5.049,2.61,1.663,12048
EC_0179-5368-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),배열 주행 가능한지 체크하자,control,배열 주행 가능 여부를 점검합니다.,1.702,1.354,3.105,1.262,10.2,65.7,12048.0,237.39,4.99,STT[Cloud] -> LLM[Cloud (Quality)],배열 주행 체크(안전 점검),234.858,4.885,2.6,1.669,12048
EC_0179-5369-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),얼마동안 자율주행으로 달린건지 알려줘,control,자율주행 시간은 30분입니다.,1.963,1.167,3.163,0.995,15.1,98.3,12048.0,305.12,4.55,STT[Cloud] -> LLM[Cloud (Quality)],check_autonomous_duration(자율주행 시간 확인),302.573,4.444,2.614,1.667,12048
EC_0179-5370-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),시트 따뜻하게 해줄래?,control,시트를 따뜻하게 설정합니다.,1.641,1.415,3.088,1.391,14.4,64.7,12048.0,214.93,4.93,STT[Cloud] -> LLM[Cloud (Quality)],시트 히터 설정(따뜻하게),212.401,4.367,2.591,2.069,12048
EC_0179-5371-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),뒷자리 참음 미리 열어놔.,control,뒷자리 창문을 열었습니다.,1.005,1.078,2.114,0.839,17.3,99.0,12048.0,242.95,4.82,STT[Cloud] -> LLM[Cloud (Quality)],창문 열기(뒷자리),240.419,4.672,2.595,1.646,12048
EC_0179-5372-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),앞에 있는 차보다 먼저 다닐게.,control,안전하게 추월하세요.,1.635,1.085,2.771,1.05,15.9,66.0,12047.0,254.36,6.15,STT[Cloud] -> LLM[Cloud (Quality)],차선 변경(앞차 추월),251.819,6.002,2.602,1.648,12047
EC_0179-5373-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),현대보험 운주주인에게 전화가 오신다.,chat,전화가 왔네요. 안전 운전하세요!,1.837,1.534,3.404,1.158,12.8,74.2,12048.0,282.66,5.2,STT[Cloud] -> LLM[Cloud (Quality)],N/A,280.116,5.048,2.612,1.558,12048
EC_0179-5374-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),각길로 가게 쳐서만 변경해주는,control,각길로 경로를 변경합니다.,0.716,0.938,1.686,0.654,19.2,96.0,12048.0,248.6,4.84,STT[Cloud] -> LLM[Cloud (Quality)],경로 변경(각길),246.065,4.689,2.603,1.638,12048
EC_0179-5375-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),조수석도 문 잠겨있어?,control,조수석 문 잠금 상태를 확인합니다.,1.404,1.23,2.67,1.012,15.2,61.7,12047.7,254.28,3.66,STT[Cloud] -> LLM[Cloud (Quality)],check_lock(조수석),251.755,3.504,2.591,1.661,12048
EC_0179-5376-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),타이어에 문제 생기면 보험사에 다이렉트로 연락해줘.,control,보험사에 연락 중입니다.,1.334,1.522,2.906,0.723,16.4,98.0,12048.0,384.59,9.03,STT[Cloud] -> LLM[Cloud (Quality)],contact_insurance(타이어 문제),382.021,8.874,2.632,1.662,12048
EC_0179-5377-04-04-PSJ-F-04-A.wav,OnDevice (Late),OnDevice (Late),자율주행모서에서는 가장 여유있는 차선을 찾아서 변경하도록 해.,control,여유로운 차선으로 변경 중입니다.,2.264,4.572,6.867,1.396,10.1,83.0,12050.0,0.12,0.12,STT[OnDevice (Late)] -> LLM[OnDevice (Late)],lane_change(자율주행 모드),0.0,0.0,0.117,0.117,12050
EC_0179-5378-04-04-PSJ-F-04-A.wav,OnDevice (Timeout),OnDevice (Late),피터 바람이 얼굴에 안게 해줘,chat,알겠습니다. 안전운전에는 집중해야 해요.,1.883,2.797,4.832,1.579,10.0,78.4,12053.0,0.23,0.6,STT[OnDevice (Timeout)] -> LLM[OnDevice (Late)],N/A,0.117,0.117,0.117,0.479,12053
EC_0179-5379-04-04-PSJ-F-04-A.wav,OnDevice (Late),OnDevice (Late),넘방 바람쐬기를 한단계 줄여줘,control,바람 세기 조절 완료.,2.017,4.37,6.419,2.098,8.2,82.7,12052.0,0.82,0.82,STT[OnDevice (Late)] -> LLM[OnDevice (Late)],adjust_climate(wind_speed: 1),0.352,0.352,0.469,0.469,12052
EC_0179-5380-04-04-PSJ-F-04-A.wav,OnDevice (Timeout),OnDevice (Late),오늘 자율주행 모두 켰어?,chat,알겠습니다. 자율주행 모드가 활성화되었습니다. 안전 운행하세요!,1.851,3.472,5.508,2.086,8.5,81.2,12053.0,0.94,0.94,STT[OnDevice (Timeout)] -> LLM[OnDevice (Late)],N/A,0.117,0.117,0.82,0.82,12053
EC_0179-5381-04-04-PSJ-F-04-A.wav,OnDevice (Late),OnDevice (Late),자유지행 모드도 몇 km로 맞춰져 있어?,info,최대 120km/h로 설정되어 있습니다.,2.005,4.177,6.212,2.113,11.1,84.8,12053.0,1.17,1.17,STT[OnDevice (Late)] -> LLM[OnDevice (Late)],Search(자유지행 모드),0.352,0.352,0.938,0.938,12053
EC_0179-5382-04-04-PSJ-F-04-A.wav,OnDevice (Late),OnDevice (Late),사고가 났나봐 앰뷸런스 먼저 보내줘야겠어,info,앰뷸런스 도착 예정입니다. 안전을 위해 주의 운전하세요.,2.187,4.186,6.378,1.635,6.1,83.6,12055.0,1.52,1.52,STT[OnDevice (Late)] -> LLM[OnDevice (Late)],Search(앰뷸런스),0.469,0.469,1.055,1.055,12055
EC_0179-5383-04-04-PSJ-F-04-A.wav,OnDevice (Timeout),OnDevice (Late),과속단속 카메라 주행속도에 맞춰줘.,control,주행속도 제한 설정 완료. 안전 운전하세요.,1.986,5.329,7.364,2.316,6.5,84.4,12054.1,1.41,1.77,STT[OnDevice (Timeout)] -> LLM[OnDevice (Late)],set_speed_limit(과속단속 카메라 주행속도),0.469,0.83,0.938,0.938,12055
EC_0179-5384-04-04-PSJ-F-04-A.wav,OnDevice (Timeout),OnDevice (Late),앞차보다 빨리 가고 싶어 추월해,control,안전하게 추월하세요.,1.893,4.369,6.404,2.135,7.9,83.4,12054.0,1.17,1.93,STT[OnDevice (Timeout)] -> LLM[OnDevice (Late)],추월(현재 속도 및 주변 상황 확인 필요),0.352,0.352,0.82,1.582,12054
EC_0179-5385-04-04-PSJ-F-04-A.wav,OnDevice (Timeout),OnDevice (Late),왼쪽 차선에서 몰아,control,왼쪽 차선으로 변경합니다. 안전운전하세요.,1.84,4.353,6.387,2.661,7.6,82.7,12056.0,1.17,1.96,STT[OnDevice (Timeout)] -> LLM[OnDevice (Late)],lane_change(left),0.352,1.137,0.82,0.82,12056
EC_0179-5386-04-04-PSJ-F-04-A.wav,OnDevice (Timeout),OnDevice (Late),속도 좀 높여 앞차 추월해,control,"앞차 추월, 속도 높였습니다.",1.865,4.348,6.381,2.312,7.5,83.6,12056.0,1.17,2.09,STT[OnDevice (Timeout)] -> LLM[OnDevice (Late)],increase_speed(5km/h),0.352,0.352,0.82,1.736,12056
EC_0179-5387-04-04-PSJ-F-04-A.wav,OnDevice (Timeout),OnDevice (Late),최고속도가 80km 넘지 않게 해.,control,최고 속도 80km/h로 제한합니다. 안전 운전하세요.,1.938,5.338,7.372,2.118,7.2,84.0,12055.1,1.41,1.41,STT[OnDevice (Timeout)] -> LLM[OnDevice (Late)],speed_limit(80km/h),0.352,0.352,1.055,1.055,12056
EC_0179-5388-04-04-PSJ-F-04-A.wav,OnDevice (Late),OnDevice (Late),정차 3분 후 뒷자리 차문 자동연림 설정에,control,"자동 연비 설정 완료, 안전 운행에 집중하세요.",2.155,4.861,7.045,1.727,8.5,83.6,12055.0,1.17,1.17,STT[OnDevice (Late)] -> LLM[OnDevice (Late)],설정(뒷자리 차문 자동 연비),0.469,0.469,0.703,0.703,12055
EC_0179-5389-04-04-PSJ-F-04-A.wav,OnDevice (Timeout),OnDevice (Late),그 수석 참은 니가 닫아줘,control,창문 닫았습니다. 안전 운전하세요.,1.899,4.366,6.403,2.884,7.7,83.9,12055.0,1.32,1.32,STT[OnDevice (Timeout)] -> LLM[OnDevice (Late)],window_close(수석 창),0.425,0.425,0.894,0.894,12055
EC_0179-5390-04-04-PSJ-F-04-A.wav,OnDevice (Late),OnDevice (Late),10초 이상 반응이 없으면 보험사에 연락과 동시에 구급차를 불러줘.,control,긴급 상황입니다. 즉시 지원 요청합니다.,2.334,4.62,6.985,1.474,9.1,81.4,12056.4,1.39,1.39,STT[OnDevice (Late)] -> LLM[OnDevice (Late)],emergency(구급차 및 보험사 연락),0.352,0.352,1.157,1.519,12057
EC_0179-5391-04-04-PSJ-F-04-A.wav,OnDevice (Timeout),OnDevice (Late),자석온도 한단계에 맞춰줘.,control,자석온도 1단계로 조절 중입니다.,1.919,4.439,6.473,2.452,7.7,82.4,12055.9,1.35,1.35,STT[OnDevice (Timeout)] -> LLM[OnDevice (Late)],adjust_temperature(1단계),0.498,0.498,0.967,0.967,12056
EC_0179-5392-04-04-PSJ-F-04-A.wav,OnDevice (Late),OnDevice (Late),마지막으로 자료제공 사용한 기록을 알려드리겠습니다.,info,최근 자료 제공 기록은 없습니다. 안전 운전하세요.,2.047,3.701,5.777,1.719,8.5,79.7,12055.2,1.2,1.2,STT[OnDevice (Late)] -> LLM[OnDevice (Late)],Search(사용 기록),0.425,0.425,0.776,0.776,12056
EC_0179-5393-04-04-PSJ-F-04-A.wav,OnDevice (Timeout),OnDevice (Late),지금 자율적인 모드 어때?,info,현재 자율 주행 모드는 비활성화되어 있습니다. 안전 운전이 우선입니다.,1.797,4.73,6.763,3.047,7.6,84.0,12056.0,1.36,1.36,STT[OnDevice (Timeout)] -> LLM[OnDevice (Late)],Search(자율 주행 모드),0.542,0.542,0.82,0.82,12056
EC_0179-5394-04-04-PSJ-F-04-A.wav,OnDevice (Late),OnDevice (Late),이제 자동주행으로 다니는게 가능한지 알려줘.,info,현재 해당 차량 모델의 자동주행 기능 지원 여부는 확인 필요합니다.,2.029,4.37,6.431,1.848,7.9,84.3,12056.0,1.36,1.36,STT[OnDevice (Late)] -> LLM[OnDevice (Late)],Search(자동주행 가능 여부),0.469,0.469,0.894,0.894,12056
EC_0179-5395-04-04-PSJ-F-04-A.wav,OnDevice (Timeout),OnDevice (Late),사선이 스티모드 하지마,control,사선 스티모드 해제 완료.,1.854,3.772,5.81,2.483,8.2,79.8,12056.0,1.13,1.49,STT[OnDevice (Timeout)] -> LLM[OnDevice (Late)],disable_steer_mode(None),0.352,0.713,0.894,0.894,12056
EC_0179-5396-04-04-PSJ-F-04-A.wav,OnDevice (Timeout),OnDevice (Late),에어컨은 현재 온도보다 시원하게,control,에어컨 설정 온도 조절 중입니다.,1.925,4.253,6.298,2.233,7.6,84.3,12056.0,1.41,11.94,STT[OnDevice (Timeout)] -> LLM[OnDevice (Late)],adjust_temperature(시원하게),0.586,0.586,0.82,11.354,12056
EC_0179-5397-04-04-PSJ-F-04-A.wav,OnDevice (Timeout),OnDevice (Late),이 자리 창문 잠금 모드 켜줘.,control,창문 잠금 모드 활성화 완료.,1.951,4.368,6.427,2.231,7.8,81.0,12056.1,1.17,18.57,STT[OnDevice (Timeout)] -> LLM[OnDevice (Late)],lock(창문 잠금 모드),0.352,5.539,0.82,13.035,12057
EC_0179-5398-04-04-PSJ-F-04-A.wav,OnDevice (Timeout),OnDevice (Late),각길에 잠깐 정차해야겠어요.,control,정차 위치를 확인하고 안전에 유의하세요.,1.827,4.635,6.669,2.711,7.3,84.0,12056.0,1.17,3.82,STT[OnDevice (Timeout)] -> LLM[OnDevice (Late)],stop(안전한 곳에 정차),0.352,3.0,0.82,0.82,12056
